Year,Month,day,sunrise,sunset,time,height,time,height,time,height,time,height,coefficient,coefficientCategory
2018,3,X,19:31,,,,,,,,,,high,
2018,3,,,,4.8,4:07,5.6,7:42,2.4,15:13,7.7,21:16,,
2018,3,,,7:57,,,,,,,,,,94
2018,3,29,7:57,19:29,4:07,4,7:42,5.6,15:13,2.4,21:16,8.2,94,very high
2018,3,J,19:29,,,,,,,,,,very high,
2018,3,,,,4,4:52,5.6,9:08,2.4,16:27,8.2,22:01,,
2018,3,,,7:59,,,,,,,,,,101
2018,3,30,7:59,19:27,4:52,3.6,9:08,6.5,16:27,2,22:01,8.2,101,very high
2018,3,V,19:27,,,,,,,,,,very high,
2018,3,,,,3.6,5:27,6.5,10:07,2,17:25,8.2,22:38,,
2018,3,,,8:00,,,,,,,,,,102
2018,3,31,8:00,19:24,5:27,2.8,10:07,7.3,17:25,2,22:38,8.2,102,very high
2018,3,S,19:24,,,,,,,,,,very high,
2018,3,,,,2.8,6:23,7.3,9:56,2,17:29,8.2,23:30,,
2018,3,,,6:13,,,,,,,,,,105
2018,2,1,6:13,21:30,6:23,3.6,9:56,6.5,17:29,0.4,23:30,10.3,105,very high
2018,2,J,21:30,,,,,,,,,,very high,
2018,2,,,,3.6,7:00,6.5,10:53,0.4,18:19,10.3,,,
2018,2,,,6:15,,,,,,,,,,101
2018,2,2,6:15,21:28,7:00,3.2,10:53,6.9,18:19,0.4,,,101,very high
2018,2,V,21:28,,,,,,,,,,very high,
2018,2,,,,3.2,0:09,6.9,7:35,0.4,11:45,,19:06,,
2018,2,,,6:17,,,,,,,,,,93
2018,2,3,6:17,21:26,0:09,10.3,7:35,2.8,11:45,7.3,19:06,0.4,93,very high
2018,2,S,21:26,,,,,,,,,,very high,
2018,2,,,,10.3,0:44,2.8,8:10,7.3,12:34,0.4,19:50,,
2018,2,,,6:18,,,,,,,,,,82
2018,2,4,6:18,21:24,0:44,9.9,8:10,2.4,12:34,7.7,19:50,0.8,82,high
2018,2,D,21:24,,,,,,,,,,high,
2018,2,,,,9.9,1:18,2.4,8:44,7.7,13:22,0.8,20:33,,
2018,2,,,6:20,,,,,,,,,,69
2018,2,5,6:20,21:22,1:18,9.5,8:44,2,13:22,7.7,20:33,1.6,69,medium
2018,2,L,21:22,,,,,,,,,,medium,
2018,2,,,,9.5,1:49,2,9:19,7.7,14:11,1.6,21:15,,
2018,2,,,6:22,,,,,,,,,,56
2018,2,6,6:22,21:21,1:49,9,9:19,2,14:11,7.7,21:15,2.4,56,medium
2018,2,M,21:21,,,,,,,,,,medium,
2018,2,,,,9,2:20,2,9:55,7.7,15:01,2.4,21:58,,
2018,2,,,6:24,,,,,,,,,,45
2018,2,7,6:24,21:19,2:20,8.6,9:55,1.6,15:01,7.7,21:58,3.2,45,low
2018,2,X,21:19,,,,,,,,,,low,
2018,2,,,,8.6,2:48,1.6,10:32,7.7,15:57,3.2,22:45,,
2018,2,,,6:26,,,,,,,,,,39
2018,2,8,6:26,21:17,2:48,7.7,10:32,2,15:57,7.3,22:45,4,39,low
2018,2,J,21:17,,,,,,,,,,low,
2018,2,,,,7.7,3:17,2,11:13,7.3,17:03,4,23:43,,
2018,2,,,6:28,,,,,,,,,,39
2018,2,9,6:28,21:15,3:17,7.3,11:13,2,17:03,6.9,23:43,4.4,39,low
2018,2,V,21:15,,,,,,,,,,low,
2018,2,,,,7.3,3:46,2,12:03,6.9,18:27,4.4,,,
2018,2,,,6:30,,,,,,,,,,44
2018,2,10,6:30,21:13,3:46,6.5,12:03,2,18:27,6.9,,,44,low
2018,2,S,21:13,,,,,,,,,,low,
2018,2,,,,6.5,1:14,2,4:22,6.9,13:04,,19:59,,
2018,2,,,6:32,,,,,,,,,,52
2018,2,11,6:32,21:11,1:14,5.2,4:22,6,13:04,2.4,19:59,7.3,52,medium
2018,2,D,21:11,,,,,,,,,,medium,
2018,2,,,,5.2,3:31,6,5:27,2.4,14:17,7.3,21:10,,
2018,2,,,6:34,,,,,,,,,,61
2018,2,12,6:34,21:09,3:31,5.2,5:27,5.6,14:17,2.4,21:10,7.7,61,medium
2018,2,L,21:09,,,,,,,,,,medium,
2018,2,,,,5.2,4:59,5.6,7:16,2.4,15:26,7.7,21:58,,
2018,2,,,6:36,,,,,,,,,,70
2018,2,13,6:36,21:07,4:59,4.8,7:16,5.6,15:26,2,21:58,8.2,70,high
2018,2,M,21:07,,,,,,,,,,high,
2018,2,,,,4.8,5:39,5.6,8:43,2,16:23,8.2,22:36,,
2018,2,,,6:38,,,,,,,,,,77
2018,2,14,6:38,21:05,5:39,4.4,8:43,5.6,16:23,2,22:36,8.6,77,high
2018,2,X,21:05,,,,,,,,,,high,
2018,2,,,,4.4,6:09,5.6,9:43,2,17:10,8.6,23:07,,
2018,2,,,6:40,,,,,,,,,,83
2018,2,15,6:40,21:03,6:09,4,9:43,6,17:10,1.6,23:07,8.6,83,high
2018,2,J,21:03,,,,,,,,,,high,
2018,2,,,,4,6:37,6,10:30,1.6,17:51,8.6,23:37,,
2018,2,,,6:42,,,,,,,,,,87
2018,2,16,6:42,21:01,6:37,3.6,10:30,6.5,17:51,1.2,23:37,9,87,high
2018,2,V,21:01,,,,,,,,,,high,
2018,2,,,,3.6,7:03,6.5,11:11,1.2,18:28,9,,,
2018,2,,,6:44,,,,,,,,,,88
2018,2,17,6:44,20:59,7:03,3.2,11:11,6.9,18:28,1.2,,,88,high
2018,2,S,20:59,,,,,,,,,,high,
2018,2,,,,3.2,0:05,6.9,7:30,1.2,11:50,,19:04,,
2018,2,,,6:46,,,,,,,,,,87
2018,2,18,6:46,20:58,0:05,9,7:30,2.8,11:50,7.3,19:04,1.2,87,high
2018,2,D,20:58,,,,,,,,,,high,
